,cross_section,unc_cross_section
0,4.393145399374998e-27,1.3103578621237074e-28
1,5.559586498900951e-27,1.8158258968169168e-28
2,6.2654432398028275e-27,1.639323763103944e-28
3,7.122734502351851e-27,2.1096116820092664e-28
4,7.497387365772672e-27,1.9209077774343546e-28
5,8.33832072803653e-27,2.1139326766474796e-28
6,9.475778943668951e-27,2.428984828488179e-28
7,9.53955071907158e-27,2.620914448173464e-28
8,1.1365228910501365e-26,2.8776189680899447e-28
9,1.427376055258627e-26,3.680391224054176e-28
10,2.722568989367399e-26,6.815906886363718e-28
11,1.0546329256076495e-25,2.9564830281879676e-27
12,2.3109086148117136e-25,7.241180915379546e-27
13,1.1786550466903802e-25,4.3270465542194046e-27
